Word,Count
'bruises,1
'united,2
'states,5
'kydae,5
'whos,5
'arent,6
'routine,2
'obviously,10
'insurance,9
'depending,3
'instead,5
'waving,1
'meth,21
'empire,1
'seriously,8
'badly,3
'loves,21
'cute,11
'respect,20
'guy,30
'puts,4
'merch,2
'valorant,5
'least,23
'bozo,1
'skill,1
'comes,19
'lllll,1
'fck,3
'luck,26
'thinking,22
'theres,15
'power,27
'verdient,1
'imagined,1
'feels,13
'reminder,3
'donate,4
'plasma,1
'sign,7
'stem,6
'donations,2
'calm,7
'treat,13
'bruised,2
'easily,9
'holy,13
'sht,1
'monkas,1
'alright,7
'extra,4
'tired,9
'achey,1
'terrified,3
'yo,5
'washe,1
'dunno,1
'shut,3
'sleep,16
'coklock,1
'atleast,3
'lukemia,1
'late,19
'bbbbutt,1
'engaged,1
'brother,34
'marrow,3
'transplant,7
'hojusara,1
'unforgiving,1
'maturity,1
'grace,33
'discover,2
'onewe,1
'techno,1
'badass,3
'karma,1
'weebs,1
'tbh,8
'force,14
'positivity,21
'underestimate,1
'strange,6
'news,17
'arrived,1
'accept,8
'fighint,1
'seek,5
'christ,33
'vaccinated,2
'bruise,3
'wouldve,3
'grows,2
'places,5
'trauma,2
'inflammation,3
'dam,5
'drew,1
'lottery,2
'gg,3
'lmao,7
'omg,21
'tt,1
'faking,1
'beats,3
'tough,23
'definitely,15
'gunna,1
'biggest,9
'course,8
'ofc,3
'learn,15
'adjusted,1
'therapies,3
'recent,4
'amlm,1
'personally,6
'cares,10
'heavy,5
'burden,3
'amen,27
'counts,2
'leukimia,1
'injury,1
'misspoke,1
'likely,4
'lately,1
'ez,1
'dub,1
'queen,6
'besides,9
'maybe,16
'hurt,17
'pop,5
'near,4
'future,11
'horrifying,1
'curable,1
'extent,3
'havehad,1
'easier,15
'classic,2
'hodgkins,5
'lymphoma,9
'currently,16
'monitored,1
'mess,5
'accidental,1
'third,10
'suddenly,2
'dose,14
'levothyroxine,1
'fatigued,1
'beforehand,2
'sneaky,1
'surprisingly,4
'handle,11
'calmly,2
'wtf,7
'shortage,1
'stuff,16
'accurate,4
'action,3
'playing,7
'valor,1
'fr,5
'stranger,3
'internet,13
'weird,8
'asf,1
'supposed,6
'cool,9
'weirdest,1
'phenomenon,1
'awkward,1
'helpful,12
'googling,1
'ing,2
'statistics,2
'etc,12
'btw,2
'pool,3
'adults,4
'median,1
'refrain,1
'access,4
'sadness,8
'powerlessness,1
'micro,2
